features,metric_name,metric_value,num_features
"['Year', 'Sea Level Rise (mm)', 'Population', 'Renewable Energy (%)', 'Forest Area (%)']",r2,-0.07433494207719415,5
"['Year', 'Sea Level Rise (mm)', 'Population', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.10291840353447212,5
"['Year', 'Sea Level Rise (mm)', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.054380128594037735,5
"['Year', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events']",r2,-0.16339724426242452,5
"['Year', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)', 'Forest Area (%)']",r2,-0.16788709269600033,5
"['Year', 'Rainfall (mm)', 'Population', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.17968676749398815,5
"['Year', 'Rainfall (mm)', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.14423978671102078,5
"['Year', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.11307008136283403,5
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)']",r2,-0.11168685337071493,6
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Extreme Weather Events']",r2,-0.13811681539769638,6
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Forest Area (%)']",r2,-0.1303842681800893,6
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Renewable Energy (%)', 'Extreme Weather Events']",r2,-0.10089684570114676,6
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Renewable Energy (%)', 'Forest Area (%)']",r2,-0.0929476946862473,6
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.1259086943527028,6
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events']",r2,-0.07311507577975962,6
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Population', 'Renewable Energy (%)', 'Forest Area (%)']",r2,-0.06682733009968822,6
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Population', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.10404742272159506,6
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.05153681426242751,6
"['Year', 'Avg Temperature (°C)', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events']",r2,-0.16144340992387063,6
"['Year', 'Avg Temperature (°C)', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)', 'Forest Area (%)']",r2,-0.15888634739308238,6
"['Year', 'Avg Temperature (°C)', 'Rainfall (mm)', 'Population', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.17843004444816257,6
"['Year', 'Avg Temperature (°C)', 'Rainfall (mm)', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.14135958792043324,6
"['Year', 'Avg Temperature (°C)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.10841474052365618,6
"['Year', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events']",r2,-0.09930351417416938,6
"['Year', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)', 'Forest Area (%)']",r2,-0.09950431700501516,6
"['Year', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.11867553840383693,6
"['Year', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.08177486932972333,6
"['Year', 'Sea Level Rise (mm)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.05353589430708361,6
"['Year', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.14900212963562054,6
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events']",r2,-0.09787648154075934,7
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)', 'Forest Area (%)']",r2,-0.0903978792822695,7
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.11841349131923096,7
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.07846533040157566,7
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.050116307669688887,7
"['Year', 'Avg Temperature (°C)', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.1444434843394311,7
"['Year', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.0808898947354415,7
"['Year', 'Avg Temperature (°C)', 'Sea Level Rise (mm)', 'Rainfall (mm)', 'Population', 'Renewable Energy (%)', 'Extreme Weather Events', 'Forest Area (%)']",r2,-0.07651486089122761,8
